sweep	gR
1	1.00000000E+000
2	7.83129711E-001
3	7.68907755E-001
4	7.67363964E-001
5	3.86852150E-001
6	3.44585650E-001
7	1.50745272E-001
8	1.11142261E-001
9	3.88036552E-001
10	3.61063477E-001
11	1.36551070E-001
12	1.44831363E-001
13	1.42625255E-001
14	2.94957757E-001
15	2.14384590E-001
16	2.93529806E-001
17	6.60408216E-002
18	7.16545994E-002
19	2.20840708E-002
20	-7.07375893E-002
21	7.85935067E-002
22	6.56142430E-002
23	4.82567994E-003
24	1.63743463E-002
25	2.43667816E-001
26	2.40211585E-003
27	2.53066091E-001
28	-6.21152133E-003
29	2.15090350E-001
30	2.49441267E-001
31	2.56400137E-001
32	3.39743542E-001
33	2.16803778E-001
34	1.08341709E-001
35	1.31419176E-001
36	1.13954185E-001
37	2.86971988E-002
38	-2.46593391E-002
39	-9.89137193E-004
40	5.34584963E-002
41	2.32190857E-001
42	3.89679078E-001
43	4.96240060E-001
44	4.46849514E-001
45	5.35816417E-001
46	4.20412475E-001
47	3.98378186E-001
48	4.98837819E-001
49	4.76516725E-001
50	4.65271071E-001
51	3.82923003E-001
52	4.16327102E-001
53	2.15444008E-001
54	2.56509240E-001
55	2.36344709E-001
56	1.32247545E-001
57	7.37799933E-002
58	3.45698108E-002
59	-1.10363776E-001
60	-1.50386103E-001
61	-1.69567121E-001
62	-1.69413737E-002
63	-9.37998866E-004
64	6.84087338E-002
65	8.61181146E-002
66	8.23553098E-002
67	8.10355534E-002
68	1.06513584E-001
69	1.41715132E-001
70	3.66467604E-001
71	2.69464896E-001
72	1.02932802E-001
73	1.35962426E-001
74	1.06074879E-001
75	2.60597344E-001
76	1.35774332E-001
77	3.39943540E-002
78	4.38162884E-002
79	7.46560673E-002
80	9.07417845E-002
81	1.65803700E-001
82	3.28054005E-002
83	1.38813060E-001
84	1.76739904E-001
85	1.02360980E-001
86	-6.79654315E-002
87	-6.39522095E-003
88	-5.97973415E-002
89	1.22794959E-003
90	8.74934668E-002
91	1.52553594E-002
92	1.10705734E-001
93	1.02482542E-001
94	-3.83228838E-002
95	-8.53933406E-002
96	-6.13079552E-002
97	-1.01003393E-001
98	-6.33556057E-002
99	-2.65752673E-001
100	-3.11391533E-001
101	-2.98523728E-001
102	1.95071118E-002
103	1.47965491E-001
104	9.73429427E-002
105	1.14074446E-002
106	1.76310741E-001
107	2.53756781E-001
108	3.43735304E-001
109	4.61030647E-001
110	4.13545845E-001
111	2.81578860E-001
112	-6.76178706E-002
113	1.94581874E-001
114	9.42083149E-002
115	5.24776300E-002
116	9.48905747E-002
117	7.80013918E-002
118	4.38002421E-002
119	1.55416737E-001
120	1.51124338E-001
121	-3.02603843E-002
122	-1.62085896E-001
123	-2.65771146E-001
124	-6.54748792E-002
125	-6.36993872E-002
126	-2.05771777E-001
127	9.19771504E-002
128	2.64037406E-003
129	-1.30086500E-002
130	8.24458488E-002
131	5.03806490E-002
132	5.43358988E-002
133	9.08224248E-002
134	2.03229473E-002
135	7.16376580E-002
136	1.12327451E-001
137	1.14068417E-001
138	1.94314383E-001
139	1.95922469E-001
140	2.36132891E-001
141	2.33530128E-001
142	1.19870347E-001
143	1.37942284E-001
144	-5.00494984E-002
145	-1.68266041E-001
146	-1.84407298E-001
147	-8.61350720E-002
148	2.05994335E-002
149	-7.21070437E-005
150	-1.32096043E-002
151	8.63451219E-002
152	1.40453667E-001
153	-9.69910503E-003
154	1.31071626E-002
155	-2.08287118E-001
156	-3.77195728E-001
157	-1.89892414E-001
158	8.72515602E-002
159	1.15625823E-001
160	5.26321679E-002
161	-6.76052829E-002
162	-4.73023274E-002
163	-9.49550150E-002
164	-3.78481432E-002
