sweep	g_CM
1	0.00000000E+000
2	4.33881370E+000
3	5.58659444E+000
4	5.58194403E+000
5	5.87937536E+000
6	5.68697432E+000
7	7.03146213E+000
8	8.21543287E+000
9	1.01921566E+001
10	8.84204464E+000
11	9.81053918E+000
12	9.41687619E+000
13	9.58953792E+000
14	1.21463750E+001
15	1.07787022E+001
16	1.04798404E+001
17	1.13512488E+001
18	1.03270484E+001
19	1.02678284E+001
20	9.62193901E+000
21	1.08146466E+001
22	1.29857983E+001
23	1.31828019E+001
24	1.37396412E+001
25	1.04505613E+001
26	9.78463621E+000
27	9.32798604E+000
28	1.08960241E+001
29	9.07890513E+000
30	1.06813570E+001
31	1.00255218E+001
32	9.95966171E+000
33	1.19308366E+001
34	1.30974333E+001
35	1.30802271E+001
36	1.15332453E+001
37	1.13327989E+001
38	1.13024126E+001
39	1.20236093E+001
40	1.34778898E+001
41	1.34220802E+001
42	1.35362303E+001
43	1.17352004E+001
44	1.37478637E+001
45	1.65345916E+001
46	1.62819417E+001
47	1.49995702E+001
48	1.43754679E+001
49	1.22206461E+001
50	1.27484980E+001
51	1.19418445E+001
52	1.15756940E+001
53	1.35907648E+001
54	1.55236611E+001
55	1.63454394E+001
56	1.46723684E+001
57	1.39964557E+001
58	1.43066425E+001
59	1.54822553E+001
60	1.88167300E+001
61	1.84883634E+001
62	1.77887393E+001
63	1.66998991E+001
64	2.01208004E+001
65	2.06795767E+001
66	1.83879016E+001
67	1.65183147E+001
68	1.81740312E+001
69	1.90476168E+001
70	1.43080983E+001
71	1.62339833E+001
72	1.80440938E+001
73	1.79811787E+001
74	1.90803218E+001
75	1.96171417E+001
76	2.21694343E+001
77	1.76188431E+001
78	1.78415708E+001
79	2.33950691E+001
80	2.28760444E+001
81	2.27306243E+001
82	2.00578898E+001
83	2.22875539E+001
84	1.92939402E+001
85	2.21255803E+001
86	2.59187252E+001
87	1.94970052E+001
88	1.79355046E+001
89	1.94882467E+001
90	1.84026306E+001
91	1.94853967E+001
92	1.91534387E+001
93	1.88107911E+001
94	1.77457801E+001
95	1.93439551E+001
96	1.98654064E+001
97	1.91666773E+001
98	1.81703073E+001
99	1.87675521E+001
100	1.67719925E+001
101	1.78347912E+001
102	1.78731116E+001
103	1.62728219E+001
104	1.58218281E+001
105	1.71442000E+001
106	1.79150617E+001
107	1.87558309E+001
108	1.68485755E+001
109	1.67365443E+001
110	1.69332483E+001
111	1.84525542E+001
112	1.62239210E+001
113	1.80189985E+001
114	1.63404226E+001
115	1.62549924E+001
116	1.80541549E+001
117	1.65736581E+001
118	1.96096317E+001
119	1.93117897E+001
120	1.89654537E+001
121	1.84421174E+001
122	1.85988830E+001
123	1.72398622E+001
124	1.75105955E+001
125	1.80181118E+001
126	1.66919630E+001
127	1.77643212E+001
128	1.70031736E+001
129	1.65975641E+001
130	1.79524908E+001
131	1.86323248E+001
132	2.29274686E+001
133	2.09850686E+001
134	2.09657410E+001
135	2.08058452E+001
136	1.87472990E+001
137	2.20488774E+001
138	2.18157378E+001
139	2.22744894E+001
140	2.05748842E+001
141	2.24476131E+001
142	2.27125304E+001
143	2.28214458E+001
144	2.21938528E+001
145	2.16659275E+001
146	2.25885030E+001
147	2.13081089E+001
148	1.77916808E+001
149	1.90563095E+001
150	1.92307201E+001
151	2.04918025E+001
152	1.96104631E+001
153	2.13062705E+001
154	2.24087426E+001
155	2.30536331E+001
156	2.39700013E+001
157	2.44259470E+001
158	2.41189933E+001
159	2.54884764E+001
160	2.41070628E+001
161	2.47624022E+001
162	2.48563632E+001
163	2.39071371E+001
164	2.51648099E+001
165	2.23799514E+001
166	2.57668449E+001
167	2.57308889E+001
168	2.43221216E+001
169	2.19441572E+001
170	2.38635179E+001
171	2.28460394E+001
172	2.35230917E+001
173	2.16482754E+001
174	2.45567611E+001
175	2.70107725E+001
176	2.62460165E+001
177	2.88635342E+001
178	2.90312297E+001
179	2.47834004E+001
180	2.54989167E+001
181	2.60659592E+001
182	2.36776114E+001
183	2.16378493E+001
184	1.95544864E+001
185	2.43487718E+001
186	2.22498961E+001
187	2.58438340E+001
188	3.11319200E+001
189	2.55400906E+001
190	2.72233708E+001
191	2.58362720E+001
192	2.45387991E+001
193	2.57024370E+001
194	2.44166569E+001
195	2.59761686E+001
196	2.14784559E+001
197	2.08315421E+001
198	2.37966213E+001
199	2.53245180E+001
200	2.80518165E+001
201	2.41515402E+001
202	2.59766400E+001
203	2.73879950E+001
204	2.94594706E+001
205	2.49356891E+001
206	2.43815580E+001
207	2.54683985E+001
208	2.86129516E+001
209	2.63719158E+001
210	2.37108903E+001
211	2.33919637E+001
212	2.32488641E+001
213	2.54668623E+001
214	2.68649347E+001
215	2.60856004E+001
216	2.91035563E+001
217	3.07465089E+001
218	3.26327266E+001
219	2.84914674E+001
220	2.89440923E+001
221	3.07591223E+001
222	2.80502544E+001
223	3.27980138E+001
224	3.22753929E+001
225	3.24298347E+001
226	3.40257307E+001
227	3.27874539E+001
228	3.21971502E+001
229	3.08001258E+001
230	2.74014629E+001
231	2.96632555E+001
232	3.19764573E+001
233	2.49077696E+001
234	2.61209238E+001
235	2.68722302E+001
236	2.51592075E+001
237	2.47324754E+001
238	2.87308950E+001
239	3.19758288E+001
240	3.35216859E+001
241	3.15437265E+001
242	2.84460174E+001
243	2.62013894E+001
244	2.87085058E+001
245	2.99871815E+001
246	3.02360888E+001
247	2.83721233E+001
248	2.52490479E+001
249	3.03006630E+001
250	2.95056714E+001
251	2.85173592E+001
252	3.09606623E+001
253	3.28502288E+001
254	2.92017045E+001
255	3.05970345E+001
256	2.69534151E+001
257	2.60165924E+001
258	2.97685448E+001
259	2.87348097E+001
260	2.97879074E+001
261	3.08835099E+001
262	3.19881084E+001
263	3.34116965E+001
264	3.41606287E+001
265	3.60708351E+001
266	3.58554268E+001
267	3.38969346E+001
268	3.52269497E+001
269	3.75029792E+001
270	3.24567510E+001
271	3.34978091E+001
272	3.03008561E+001
273	3.17147013E+001
274	2.91146973E+001
275	2.72488471E+001
276	2.98503669E+001
277	2.70436865E+001
278	3.09395394E+001
279	2.88003827E+001
280	2.78593846E+001
281	2.95840445E+001
282	2.95142248E+001
283	3.09322352E+001
284	3.22955312E+001
285	3.30316117E+001
286	3.32917013E+001
287	3.30498692E+001
288	3.07153396E+001
289	3.27691684E+001
290	3.57207317E+001
291	3.27242958E+001
292	3.64105005E+001
293	3.86716262E+001
294	3.74312776E+001
295	3.24841666E+001
296	3.41254848E+001
297	3.87635253E+001
298	3.88179084E+001
299	3.78651474E+001
300	3.59402156E+001
301	3.58536459E+001
302	3.53697840E+001
303	3.80194675E+001
304	3.00026362E+001
305	3.16497289E+001
306	2.89797359E+001
307	3.13792020E+001
308	3.42861107E+001
309	3.31671250E+001
310	3.82882246E+001
311	3.42156368E+001
312	3.65397784E+001
313	3.82089214E+001
314	3.52221579E+001
315	3.34637946E+001
316	3.54086557E+001
317	3.91755147E+001
318	3.66550520E+001
319	3.85990886E+001
320	3.84447269E+001
321	4.02201640E+001
322	4.19130936E+001
323	3.83475086E+001
324	3.71991465E+001
325	4.04059853E+001
