chain	R2	Rg2
0	3312.139919	361.839423
1	1320.145318	266.443210
2	5919.317549	716.286356
3	4597.265336	616.641755
4	1096.674210	258.055917
5	1331.172651	235.909075
6	2762.719280	358.482502
7	4875.518386	568.807897
8	1140.087799	254.146994
9	3365.286074	660.090779
10	5124.122551	651.663420
11	3221.030158	616.156928
12	3959.068914	455.013158
13	1613.987309	393.341339
14	2136.364832	334.249534
15	4145.589606	643.682279
16	3117.973688	447.642931
17	192.997398	229.384234
18	2854.026294	344.314637
19	1310.107682	212.705385
