sweep	g1
1	0.00000000E+000
2	5.29582352E+001
3	1.13873005E+002
4	1.53323891E+002
5	1.68935262E+002
6	1.85815307E+002
7	1.59243579E+002
8	2.06052372E+002
9	1.55546192E+002
10	1.59335361E+002
11	2.11985299E+002
12	1.99013897E+002
13	1.84685992E+002
14	2.15625145E+002
15	2.51046184E+002
16	2.55579403E+002
17	2.45091249E+002
18	2.31503554E+002
19	2.00390975E+002
20	2.54634863E+002
21	2.41257281E+002
22	1.97643017E+002
23	2.16800134E+002
24	1.87955392E+002
25	1.61884561E+002
26	2.14898546E+002
27	2.04961326E+002
28	2.06781573E+002
29	2.13005703E+002
30	2.09722745E+002
31	1.68328609E+002
32	1.88728954E+002
33	2.33524671E+002
34	2.23615147E+002
35	1.91612799E+002
36	2.10359490E+002
37	2.03717478E+002
38	1.76920984E+002
39	2.08332205E+002
40	1.65357185E+002
41	1.46056411E+002
42	1.15479442E+002
43	1.39139162E+002
44	2.25649275E+002
45	1.79393928E+002
46	1.52650490E+002
47	2.16889307E+002
48	2.42601142E+002
49	2.20673409E+002
50	2.89647329E+002
51	2.74238868E+002
52	2.68454636E+002
53	2.60981040E+002
54	2.28546312E+002
55	2.28871398E+002
56	2.65822083E+002
57	2.07787825E+002
58	2.26620708E+002
59	2.19110176E+002
60	2.14346459E+002
61	2.97182464E+002
62	2.79562581E+002
63	2.03780373E+002
64	1.99338472E+002
65	1.90311458E+002
66	2.01390787E+002
67	2.07526579E+002
68	2.06837410E+002
69	1.72079532E+002
70	1.78852079E+002
71	1.95990343E+002
72	2.25942685E+002
73	2.56215188E+002
74	2.78902344E+002
75	2.64068806E+002
76	2.28238733E+002
77	1.55167136E+002
78	1.59256474E+002
79	1.54276104E+002
80	1.57842390E+002
81	1.41314419E+002
82	1.69421910E+002
83	1.81607783E+002
84	1.98383261E+002
85	2.10903516E+002
86	2.44648536E+002
87	2.07401877E+002
88	1.99019296E+002
89	1.98708653E+002
90	1.95023594E+002
91	1.89542493E+002
92	1.83316123E+002
93	1.92158987E+002
94	1.86315850E+002
95	1.62287663E+002
96	1.85473137E+002
97	2.24084381E+002
98	1.92326256E+002
99	2.15044846E+002
100	1.90023369E+002
101	2.23378086E+002
102	2.22966829E+002
103	2.11191156E+002
104	2.79471087E+002
105	2.75705830E+002
106	2.51549538E+002
107	2.04470758E+002
108	1.94271482E+002
109	2.88310812E+002
110	2.62836700E+002
111	2.78132095E+002
112	2.60854790E+002
113	2.99052129E+002
114	2.75041950E+002
115	2.68294104E+002
116	3.09920250E+002
117	2.96786574E+002
118	3.00000575E+002
119	3.03460096E+002
120	3.60152390E+002
121	3.22562449E+002
122	3.32090078E+002
123	2.71575580E+002
124	3.23133178E+002
125	2.52054444E+002
126	2.33844295E+002
127	2.91483652E+002
128	2.48878567E+002
129	2.38989198E+002
130	2.62975120E+002
131	3.03118697E+002
132	3.19060161E+002
133	3.25111700E+002
134	3.43311248E+002
135	3.14461710E+002
136	3.11232968E+002
137	2.99157993E+002
138	2.90442823E+002
139	3.16042919E+002
140	2.72753486E+002
141	2.69227404E+002
142	2.37725572E+002
143	2.49198757E+002
144	2.58405444E+002
145	2.85150367E+002
146	2.82742759E+002
147	2.71647202E+002
148	3.49444289E+002
149	3.11976282E+002
150	3.10683615E+002
151	2.83192611E+002
152	3.18604546E+002
153	2.85039973E+002
154	3.65230502E+002
155	4.23471883E+002
156	3.90502499E+002
157	3.93003712E+002
158	3.50808987E+002
159	3.40385748E+002
160	3.27249445E+002
161	4.26311842E+002
162	4.17361915E+002
163	4.37148294E+002
164	4.29634712E+002
165	4.49685687E+002
166	4.50799357E+002
167	4.50152714E+002
168	4.03133108E+002
169	4.45735146E+002
170	4.10806450E+002
171	3.71688072E+002
172	3.75563194E+002
173	3.37854677E+002
174	3.77015988E+002
175	4.09893633E+002
176	3.75472758E+002
177	3.65802639E+002
178	3.05068798E+002
179	2.65733918E+002
180	2.71103363E+002
181	3.22719763E+002
182	3.06847751E+002
183	2.66817023E+002
184	2.55066465E+002
185	2.51823015E+002
186	2.67717049E+002
187	2.75132528E+002
188	2.95160059E+002
189	3.19927193E+002
190	3.71645091E+002
191	3.50331683E+002
192	3.70312458E+002
193	3.55785275E+002
194	3.80564106E+002
195	2.84425047E+002
196	3.53595431E+002
197	3.31255001E+002
198	3.69181423E+002
199	3.34762081E+002
200	3.13519056E+002
201	3.43577034E+002
202	3.62648078E+002
203	3.76830776E+002
204	3.96363897E+002
205	3.42703549E+002
206	3.73572846E+002
207	3.71650164E+002
208	3.80225974E+002
209	3.83740556E+002
210	4.22836962E+002
211	3.34304057E+002
212	3.45192356E+002
213	3.41507125E+002
214	3.73832409E+002
215	4.32618473E+002
216	4.18405568E+002
217	4.47121434E+002
218	4.54200638E+002
219	4.37909420E+002
220	4.88656287E+002
221	3.02121571E+002
222	3.15058748E+002
223	3.23459685E+002
224	3.34838890E+002
225	3.26858458E+002
226	3.78132327E+002
227	3.81325769E+002
228	3.89509945E+002
229	4.15582360E+002
230	3.56052984E+002
231	3.65975846E+002
232	4.22571370E+002
233	3.75012919E+002
234	3.63898803E+002
235	3.45777455E+002
236	3.94427186E+002
237	3.59409231E+002
238	3.74638110E+002
239	3.67825199E+002
240	3.75056305E+002
241	3.64692147E+002
242	3.70655471E+002
243	3.89716428E+002
244	3.83848583E+002
245	3.52948061E+002
246	3.25079463E+002
247	2.60323321E+002
248	2.89805189E+002
249	2.52750783E+002
250	3.68220331E+002
251	3.99339907E+002
252	4.04261719E+002
253	4.00803250E+002
254	4.49278897E+002
255	4.26578515E+002
256	4.57022153E+002
257	3.97794097E+002
258	3.79238449E+002
259	3.80591472E+002
260	3.93985672E+002
261	3.86486838E+002
262	4.64236955E+002
263	4.50854995E+002
264	4.75834453E+002
265	4.33610336E+002
266	4.79262592E+002
267	4.82259955E+002
268	5.21070348E+002
269	4.58794088E+002
270	4.98688972E+002
271	4.90615176E+002
272	4.70006040E+002
273	4.95697774E+002
274	5.62169465E+002
275	6.25614878E+002
276	5.57633765E+002
277	5.23888730E+002
278	4.76806769E+002
279	4.48440537E+002
280	5.20424473E+002
281	4.95506755E+002
282	4.29482482E+002
283	4.27115090E+002
284	4.78011070E+002
285	5.08899225E+002
286	5.44975691E+002
287	5.10914747E+002
288	5.39540421E+002
289	5.33870576E+002
290	5.21179323E+002
291	5.27193952E+002
292	5.02856014E+002
293	5.73929118E+002
294	5.63404694E+002
295	5.72355880E+002
296	5.42961198E+002
297	4.46035565E+002
298	4.76642419E+002
299	4.65339965E+002
300	4.89775570E+002
301	4.62178492E+002
302	3.72208252E+002
303	4.55930322E+002
304	4.81024313E+002
